Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,-0.8976738791967661,1.0286112808972343,-1.3367940202882493,-1.308592819437958,Iris-setosa
2,-1.1392004834649532,-0.12454037930145956,-1.3367940202882493,-1.308592819437958,Iris-setosa
3,-1.3807270877331412,0.3367202847780184,-1.393469854952816,-1.308592819437958,Iris-setosa
4,-1.5014903898672358,0.10608995273827942,-1.2801181856236823,-1.308592819437958,Iris-setosa
5,-1.0184371813308597,1.2592416129369732,-1.3367940202882493,-1.308592819437958,Iris-setosa
6,-0.5353839727944832,1.9511326090561893,-1.1667665162945489,-1.0465248315665376,Iris-setosa
7,-1.5014903898672358,0.7979809488574954,-1.3367940202882493,-1.1775588255022478,Iris-setosa
8,-1.0184371813308597,0.7979809488574954,-1.2801181856236823,-1.308592819437958,Iris-setosa
9,-1.743016994135423,-0.35517071134119854,-1.3367940202882493,-1.308592819437958,Iris-setosa
10,-1.1392004834649532,0.10608995273827942,-1.2801181856236823,-1.4396268133736678,Iris-setosa
11,-0.5353839727944832,1.4898719449767124,-1.2801181856236823,-1.308592819437958,Iris-setosa
12,-1.2599637855990478,0.7979809488574954,-1.2234423509591155,-1.308592819437958,Iris-setosa
13,-1.2599637855990478,-0.12454037930145956,-1.3367940202882493,-1.4396268133736678,Iris-setosa
14,-1.8637802962695176,-0.12454037930145956,-1.5068215242819496,-1.4396268133736678,Iris-setosa
15,-0.05233076425810806,2.1817629410959283,-1.450145689617383,-1.308592819437958,Iris-setosa
16,-0.1730940663922016,3.104284269254884,-1.2801181856236823,-1.0465248315665376,Iris-setosa
17,-0.5353839727944832,1.9511326090561893,-1.393469854952816,-1.0465248315665376,Iris-setosa
18,-0.8976738791967661,1.0286112808972343,-1.3367940202882493,-1.1775588255022478,Iris-setosa
19,-0.1730940663922016,1.7205022770164502,-1.1667665162945489,-1.1775588255022478,Iris-setosa
20,-0.8976738791967661,1.7205022770164502,-1.2801181856236823,-1.1775588255022478,Iris-setosa
21,-0.5353839727944832,0.7979809488574954,-1.1667665162945489,-1.308592819437958,Iris-setosa
22,-0.8976738791967661,1.4898719449767124,-1.2801181856236823,-1.0465248315665376,Iris-setosa
23,-1.5014903898672358,1.2592416129369732,-1.5634973589465164,-1.308592819437958,Iris-setosa
24,-0.8976738791967661,0.5673506168177563,-1.1667665162945489,-0.9154908376308276,Iris-setosa
25,-1.2599637855990478,0.7979809488574954,-1.0534148469654152,-1.308592819437958,Iris-setosa
26,-1.0184371813308597,-0.12454037930145956,-1.2234423509591155,-1.308592819437958,Iris-setosa
27,-1.0184371813308597,0.7979809488574954,-1.2234423509591155,-1.0465248315665376,Iris-setosa
28,-0.7769105770626714,1.0286112808972343,-1.2801181856236823,-1.308592819437958,Iris-setosa
29,-0.7769105770626714,0.7979809488574954,-1.3367940202882493,-1.308592819437958,Iris-setosa
30,-1.3807270877331412,0.3367202847780184,-1.2234423509591155,-1.308592819437958,Iris-setosa
31,-1.2599637855990478,0.10608995273827942,-1.2234423509591155,-1.308592819437958,Iris-setosa
32,-0.5353839727944832,0.7979809488574954,-1.2801181856236823,-1.0465248315665376,Iris-setosa
33,-0.7769105770626714,2.4123932731356663,-1.2801181856236823,-1.4396268133736678,Iris-setosa
34,-0.41462067066038977,2.643023605175406,-1.3367940202882493,-1.308592819437958,Iris-setosa
35,-1.1392004834649532,0.10608995273827942,-1.2801181856236823,-1.4396268133736678,Iris-setosa
36,-1.0184371813308597,0.3367202847780184,-1.450145689617383,-1.308592819437958,Iris-setosa
37,-0.41462067066038977,1.0286112808972343,-1.393469854952816,-1.308592819437958,Iris-setosa
38,-1.1392004834649532,0.10608995273827942,-1.2801181856236823,-1.4396268133736678,Iris-setosa
